case,translation_index_x,translation_index_y,translation_fraction_a,translation_fraction_b,translation_cartesian_x_angstrom,translation_cartesian_y_angstrom,atom_count,lower_layer_atom_count,upper_layer_atom_count,lower_layer_composition,upper_layer_composition,bilayer_composition,minimum_pair_distance_angstrom,minimum_intralayer_distance_angstrom,minimum_interlayer_distance_angstrom,periodic_vacuum_gap_angstrom,cell_c_angstrom,layer_center_separation_angstrom,lower_thickness_angstrom,upper_thickness_angstrom,orientation_operation,orientation_matrix_upper_to_lower_cartesian,orientation_y_reflection_rms_3d_angstrom,translation_only_rms_3d_angstrom,selective_dynamics,poscar,poscar_sha256,geometry_sha256,reread_atom_count,reread_lower_atom_count,reread_upper_atom_count,reread_largest_interlayer_z_gap_angstrom,reread_minimum_pair_distance_angstrom,reread_periodic_vacuum_gap_angstrom
registry_ix00_iy00_n3x3,0,0,0.000000000000,0.000000000000,0.0,0.0,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.71700534752218,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix00_iy00_n3x3/POSCAR,6e1029d76592f14f400b8962a17703ccdb5fc3db26fceb069acc8e677e2f0c14,c8e7c1e6f6b3add079ecebdb94e45328a17fcd5f0defccd05a93b0240b38749c,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix00_iy01_n3x3,0,1,0.000000000000,0.333333333333,0.0,1.487842857142857,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.828695145080294,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix00_iy01_n3x3/POSCAR,0b4b679b5f26c706dc17eb1ae5489e1aad0c775a4e87044dd8660342219c7ea1,271704b922cf16e111676c2eccdaa56c0f29a40724de7f2a5250f5486dc0bb10,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix00_iy02_n3x3,0,2,0.000000000000,0.666666666667,0.0,2.975685714285714,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.764687718931136,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix00_iy02_n3x3/POSCAR,1cf4a7142f1a6551d79c2c5e81747be9e9653376afd31dcb54f0d228b477a241,9a84a4ece94ea10e82ba367ec317a957d19710c515b52e7b377a7f985efc0b90,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix01_iy00_n3x3,1,0,0.333333333333,0.000000000000,1.3907625000000001,0.0,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.5382711906808035,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix01_iy00_n3x3/POSCAR,935813cfb8bad1974222055d6de31533914c4f49b05621a9b9634a4873010824,0034e90bf63bff4a2d6c8419269ba373f5d617537643a8e2af3249ea7f109c55,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix01_iy01_n3x3,1,1,0.333333333333,0.333333333333,1.3907625000000001,1.487842857142857,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.40997281322145,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix01_iy01_n3x3/POSCAR,101cd8f159a79b946d0b5ed258c94f400485aea8122c714d27901a90ccae1955,90f45a47eb7e9167bf965bb3885b22a8141e58f3ca91c24ab8105237972cf143,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix01_iy02_n3x3,1,2,0.333333333333,0.666666666667,1.3907625000000001,2.975685714285714,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.76730193732716,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix01_iy02_n3x3/POSCAR,6daea00ca8f14e5139f43226c0b72ed9d1d990f67d56267bf4240b59d9647184,934ee5558ddb4e211c368c84c0d46f47f81fb43365c2c0f727630a3ae1ee41ad,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix02_iy00_n3x3,2,0,0.666666666667,0.000000000000,2.7815250000000002,0.0,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.538271639314483,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix02_iy00_n3x3/POSCAR,d66c74f752bdddeaa106cf663d152d3a8ddc7e9a586b1461c32171515162369c,cfd002589dd3b08aeb108de28560b47e6c8bf0d43818240093115f8572fe690c,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix02_iy01_n3x3,2,1,0.666666666667,0.333333333333,2.7815250000000002,1.487842857142857,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.40997327490713,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix02_iy01_n3x3/POSCAR,9aef8e73500fbe39d24ab442e75f7f7fe2d18c978485ba61726d1868a752ea04,3631c13cbca89055309519a53cb365b105f9512bc92544c6095e314b8485443c,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
registry_ix02_iy02_n3x3,2,2,0.666666666667,0.666666666667,2.7815250000000002,2.975685714285714,8,4,4,Sn2Se2,Sn2Se2,Sn4Se4,2.703529196873974,2.703529196873974,4.76730236440758,19.999999999999993,30.382920345250007,7.361486807250001,2.9946378599999823,3.0482292160000313,y_reflection,"[[1.0,0.0,0.0],[0.0,-1.0,0.0],[0.0,0.0,1.0]]",0.023904660859219135,0.5105963276009488,F F T for all atoms,registry_ix02_iy02_n3x3/POSCAR,41a251b41dec966d9824e80f38cadb9d91f5deaf87400d4c3205102c174d423b,cd2155e9f2a330d810c0836cdca1b8a89622b6c66908fb5facfcfc55c8f978b2,8,4,4,4.340053269249992,2.703529196873974,19.999999999999993
